Sequence Length,Noise Amount,Crossover Rate,Elitism Rate,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
1,0.15,0.2,0.06,0.00013646483421325684,0.9998624324798584,0.009505480527877808,0.009505607187747955,0.00013646483421325684,0.005962241441011429,0.9153780341148376
1,0.15,0.2,0.12,0.00013646483421325684,0.9997578859329224,0.009505614638328552,0.009505577385425568,0.00013646483421325684,0.005962253548204899,0.9153781533241272
1,0.15,0.2,0.24,0.00013646483421325684,0.9997915029525757,0.009505631402134895,0.00950562208890915,0.00013646483421325684,0.0059622470289468765,0.9153785109519958
1,0.15,0.4,0.06,0.00013646483421325684,0.9997326135635376,0.009505555033683777,0.009505599737167358,0.00013646483421325684,0.005962175317108631,0.9153786897659302
1,0.15,0.4,0.12,0.00013649463653564453,0.9997605085372925,0.009505607187747955,0.009505592286586761,0.00013649463653564453,0.005962179973721504,0.9153783321380615
1,0.15,0.4,0.24,0.00013652443885803223,0.9997735023498535,0.00950562208890915,0.009505577385425568,0.00013652443885803223,0.005962170660495758,0.9153786897659302
1,0.15,0.8,0.06,0.00013646483421325684,0.9998196363449097,0.009505480527877808,0.009505495429039001,0.00013646483421325684,0.005962244234979153,0.9153782725334167
1,0.15,0.8,0.12,0.00013646483421325684,0.9997434616088867,0.00950547307729721,0.009505555033683777,0.00013646483421325684,0.005962293595075607,0.915378749370575
1,0.15,0.8,0.24,0.00013646483421325684,0.9998570680618286,0.00950554758310318,0.009505592286586761,0.00013646483421325684,0.00596229825168848,0.9153785705566406
1,0.3,0.2,0.06,0.00013646483421325684,0.9998612403869629,0.009505614638328552,0.00950554758310318,0.00013646483421325684,0.005962180905044079,0.9153783321380615
1,0.3,0.2,0.12,0.00013649463653564453,0.9997867345809937,0.009505555033683777,0.009505577385425568,0.00013649463653564453,0.005962280556559563,0.9153784513473511
1,0.3,0.2,0.24,0.00013643503189086914,0.999832034111023,0.009505592286586761,0.009505562484264374,0.00013643503189086914,0.005962231196463108,0.9153783917427063
1,0.3,0.4,0.06,0.00013646483421325684,0.9998623132705688,0.00950556993484497,0.009505584836006165,0.00013646483421325684,0.0059622423723340034,0.9153784513473511
1,0.3,0.4,0.12,0.00013649463653564453,0.999862551689148,0.00950566679239273,0.009505592286586761,0.00013649463653564453,0.005962159484624863,0.9153785109519958
1,0.3,0.4,0.24,0.00013646483421325684,0.9998452663421631,0.009505534544587135,0.009505599737167358,0.00013646483421325684,0.005962285213172436,0.9153785705566406
1,0.3,0.8,0.06,0.00013646483421325684,0.9998071193695068,0.009505636990070343,0.009505555033683777,0.00013646483421325684,0.005962146446108818,0.9153783321380615
1,0.3,0.8,0.12,0.00013646483421325684,0.9997402429580688,0.009505575522780418,0.00950556993484497,0.00013646483421325684,0.005962328054010868,0.9153781533241272
1,0.3,0.8,0.24,0.00013646483421325684,0.9998619556427002,0.009505483321845531,0.009505614638328552,0.00013646483421325684,0.005962248891592026,0.9153786301612854
1,0.6,0.2,0.06,0.00013643503189086914,0.999859094619751,0.00950547307729721,0.009505636990070343,0.00013643503189086914,0.005962190218269825,0.9153784513473511
1,0.6,0.2,0.12,0.00013646483421325684,0.9998525381088257,0.009505487978458405,0.009505577385425568,0.00013646483421325684,0.005962221883237362,0.9153781533241272
1,0.6,0.2,0.24,0.00013646483421325684,0.9998520612716675,0.009505562484264374,0.009505607187747955,0.00013646483421325684,0.00596222747117281,0.9153779149055481
1,0.6,0.4,0.06,0.00013646483421325684,0.999783992767334,0.009505681693553925,0.009505651891231537,0.00013646483421325684,0.005962129682302475,0.9153760075569153
1,0.6,0.4,0.12,0.00013646483421325684,0.9998608827590942,0.009505514055490494,0.00950562208890915,0.00013646483421325684,0.0036807330325245857,0.9153782725334167
1,0.6,0.4,0.24,0.00013649463653564453,0.9997609853744507,0.00950564444065094,0.009505584836006165,0.00013649463653564453,0.0059622470289468765,0.9153769612312317
1,0.6,0.8,0.06,0.00013643503189086914,0.9998425245285034,0.009505480527877808,0.00950547307729721,0.00013643503189086914,0.005962229333817959,0.9153784513473511
1,0.6,0.8,0.12,0.00013646483421325684,0.9998273849487305,0.00950556993484497,0.00950552523136139,0.00013646483421325684,0.005962127819657326,0.915378749370575
1,0.6,0.8,0.24,0.00013643503189086914,0.9998565912246704,0.009505532681941986,0.00950556993484497,0.00013643503189086914,0.005962202325463295,0.9153784513473511
2,0.15,0.2,0.06,0.0008465945720672607,0.99908047914505,0.037754125893116,0.037901490926742554,0.0008465945720672607,0.025330733507871628,0.9619743824005127
2,0.15,0.2,0.12,0.0006772428750991821,0.9988852739334106,0.03782851994037628,0.03788803145289421,0.0006772428750991821,0.024329012259840965,0.9619739055633545
2,0.15,0.2,0.24,0.0006726235151290894,0.9990609884262085,0.037996068596839905,0.0378933846950531,0.0006726235151290894,0.025762252509593964,0.9619816541671753
