Sequence Length,Population Size,Num Generations,Crossover Rate,Differential Weight,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
4,20,25,0.8,0.5,0.009587198495864868,0.9990247488021851,0.1461537927389145,0.14640825986862183,0.009587198495864868,0.0931435376405716,1.0000593662261963
4,20,25,0.8,1.0,0.0019839704036712646,0.9999295473098755,0.14529107511043549,0.14594599604606628,0.0019839704036712646,0.08710154891014099,0.9999846816062927
4,20,25,0.8,2.0,0.0019828826189041138,0.9999296069145203,0.14443588256835938,0.14629103243350983,0.0019828826189041138,0.08574530482292175,0.9998902678489685
4,20,25,1.0,0.5,0.01117280125617981,0.9991940259933472,0.14657463133335114,0.14637388288974762,0.01117280125617981,0.09186501055955887,0.9993797540664673
4,20,25,1.0,1.0,0.0016661733388900757,0.9999295473098755,0.14543093740940094,0.14523515105247498,0.0016661733388900757,0.08504748344421387,1.0000449419021606
4,20,25,1.0,2.0,0.001698806881904602,0.9999295473098755,0.14522674679756165,0.14600755274295807,0.001698806881904602,0.09925071150064468,1.0000100135803223
8,20,25,0.6,0.5,0.08907504379749298,0.9999473094940186,0.49990326166152954,0.4995606243610382,0.08907504379749298,0.4128330945968628,1.000008225440979
8,20,25,0.6,1.0,0.015294037759304047,0.9998044967651367,0.4999540448188782,0.49610191583633423,0.015294037759304047,0.3281392455101013,1.0000489950180054
8,20,25,0.6,2.0,0.013478606939315796,0.9997166395187378,0.49976909160614014,0.5001547336578369,0.013478606939315796,0.330738365650177,1.0000439882278442
8,20,25,0.8,0.5,0.08106891810894012,0.9998664855957031,0.4985920190811157,0.499553918838501,0.08106891810894012,0.34993627667427063,1.0000377893447876
8,20,25,0.8,1.0,0.020249344408512115,0.9996129870414734,0.4943792223930359,0.4957301616668701,0.020249344408512115,0.3298971951007843,1.000047206878662
8,20,25,0.8,2.0,0.0146217942237854,0.9997868537902832,0.4936767816543579,0.49727973341941833,0.0146217942237854,0.296844482421875,0.9994881749153137
