Population Size,Num Generations,Crossover Rate,Differential Weight,Sequence Length,Init Sol Type,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
20,25,0.45,1.6,8,normal_distro,0.9714745879173279,0.9806302785873413,0.9848565459251404,0.9714745879173279,0.9806289076805115,0.9904263019561768,0.9917709827423096
20,25,0.225,0.4,32,normal_distro,0.9711322784423828,0.9748265743255615,0.9902418851852417,0.9915902018547058,0.9767297506332397,0.9711322784423828,0.9914796352386475
20,25,0.45,0.4,16,uniform_distro,0.9699734449386597,0.9804813861846924,0.9885753393173218,0.9699734449386597,0.9907309412956238,0.9700096249580383,0.9859943389892578
10,25,0.45,0.4,4,uniform_distro,0.9699031114578247,0.9699031114578247,0.9821193218231201,0.9737540483474731,0.9809622764587402,0.9893486499786377,0.9850028157234192
20,25,0.9,1.6,4,uniform_distro,0.9694191813468933,0.9944694638252258,0.9747014045715332,0.9694191813468933,0.9729821681976318,0.9874328374862671,0.9858928918838501
20,25,0.9,0.4,4,normal_distro,0.9690523147583008,0.9841195344924927,0.9690523147583008,0.9946482181549072,0.9950429201126099,0.9826241731643677,0.9877429008483887
20,13,0.225,1.6,8,uniform_distro,0.969038188457489,0.9900141954421997,0.9700721502304077,0.9752650260925293,0.9845737218856812,0.9707234501838684,0.969038188457489
20,25,0.45,1.6,32,normal_distro,0.9689586758613586,0.9876092672348022,0.9792686700820923,0.9851193428039551,0.9894771575927734,0.9780890941619873,0.9689586758613586
20,25,0.9,0.4,8,uniform_distro,0.968292772769928,0.9748081564903259,0.968292772769928,0.9817180633544922,0.9933590888977051,0.9889737367630005,0.998499870300293
20,25,0.9,0.4,256,normal_distro,0.9679147005081177,0.973389744758606,0.9747610688209534,0.9715731739997864,0.9679147005081177,0.9706470966339111,0.9734867811203003
20,25,0.45,0.4,64,normal_distro,0.9677968621253967,0.9937784075737,0.9929924607276917,0.9891814589500427,0.9677968621253967,0.9924675226211548,0.9873929619789124
10,13,0.9,0.4,64,normal_distro,0.9667937755584717,0.993069589138031,0.9667937755584717,0.9859591722488403,0.9908313751220703,0.9897024631500244,0.9909203052520752
20,25,0.9,0.8,64,normal_distro,0.966521680355072,0.9855368137359619,0.9818747639656067,0.9779663681983948,0.9690526127815247,0.9710075259208679,0.966521680355072
20,25,0.225,1.6,8,uniform_distro,0.9663867950439453,0.9831745028495789,0.9754246473312378,0.9663867950439453,0.978977620601654,0.9943675398826599,0.9778016805648804
20,25,0.9,0.4,16,normal_distro,0.9663338661193848,0.9912594556808472,0.9940693974494934,0.9747651815414429,0.9930946826934814,0.9946213960647583,0.9663338661193848
10,25,0.9,0.4,8,normal_distro,0.9658184051513672,0.9658184051513672,0.998471736907959,0.999083936214447,0.9940741062164307,0.9755663871765137,0.9988251328468323
20,25,0.45,0.4,4,normal_distro,0.9656161069869995,0.9947049617767334,0.9656161069869995,0.9951689839363098,0.9696251749992371,0.9871016144752502,0.9902727007865906
10,25,0.9,0.4,128,uniform_distro,0.9653176069259644,0.9793464541435242,0.9757900834083557,0.9667962193489075,0.965771496295929,0.9748238325119019,0.9653176069259644
20,25,0.45,0.4,32,uniform_distro,0.9649785161018372,0.9825303554534912,0.9649785161018372,0.9877394437789917,0.9919468760490417,0.9671481847763062,0.9652621746063232
20,25,0.225,0.4,32,uniform_distro,0.9647225141525269,0.9765539765357971,0.9647225141525269,0.987402617931366,0.9684736728668213,0.9729771614074707,0.9846409559249878
20,13,0.45,1.6,32,normal_distro,0.9639186859130859,0.9639186859130859,0.9841274619102478,0.9795753955841064,0.9873450994491577,0.9962059259414673,0.987736701965332
5,25,0.9,0.4,16,normal_distro,0.9637132883071899,0.991026759147644,0.9637132883071899,0.989268958568573,0.9712547659873962,0.9977771043777466,0.9979519248008728
20,25,0.9,1.6,4,normal_distro,0.9633966684341431,0.9982595443725586,0.9839377403259277,0.9633966684341431,0.9816863536834717,0.9781273007392883,0.9968940019607544
5,25,0.45,0.4,32,normal_distro,0.9633627533912659,0.9914626479148865,0.992525041103363,0.9941788911819458,0.9915797710418701,0.9633627533912659,0.9639215469360352
5,25,0.9,0.8,128,normal_distro,0.9633102416992188,0.9813021421432495,0.987131655216217,0.9864537119865417,0.9633102416992188,0.9810407161712646,0.9725414514541626
