Sequence Length,Population Size,Num Generations,Crossover Rate,Init Sol Type,Differential Weight,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
4,10,6,0.2,noiseless_ideal,0.45,0.9463096857070923,0.9532644748687744,0.9463096857070923,0.9873934388160706,0.9961425065994263,0.9932626485824585,0.9700410962104797
4,10,6,0.2,uniform_distro,0.45,0.9057700634002686,0.9057700634002686,0.9601786136627197,0.9190642833709717,0.9621917009353638,0.925657331943512,0.9469226598739624
4,10,6,0.2,normal_distro,0.45,0.1914917230606079,0.9789541959762573,0.8860138654708862,0.5306222438812256,0.1914917230606079,0.9648188352584839,0.9933205842971802
4,10,6,0.2,noiseless_ideal,0.9,0.9559400677680969,0.9853969812393188,0.9897609949111938,0.9559400677680969,0.9812628030776978,0.9932510852813721,0.9870497584342957
4,10,6,0.2,uniform_distro,0.9,0.5895292162895203,0.9207512736320496,0.817043662071228,0.9269761443138123,0.9914827346801758,0.5895292162895203,0.9207451343536377
4,10,6,0.2,normal_distro,0.9,0.4978449046611786,0.9796575903892517,0.8425229787826538,0.4978449046611786,0.9510893821716309,0.8702280521392822,0.9756526947021484
4,10,6,0.2,noiseless_ideal,1.8,0.9431353807449341,0.9698282480239868,0.9431353807449341,0.9635049104690552,0.9767654538154602,0.976812481880188,0.9545282125473022
4,10,6,0.2,uniform_distro,1.8,0.7542517781257629,0.9168238639831543,0.7542517781257629,0.9138557314872742,0.7835562229156494,0.8565240502357483,0.8673907518386841
4,10,6,0.2,normal_distro,1.8,0.8128399848937988,0.9707667231559753,0.9453824758529663,0.8128399848937988,0.8919873237609863,0.9158353805541992,0.9415929913520813
4,10,6,0.4,noiseless_ideal,0.45,0.985361635684967,0.9914575219154358,0.992245078086853,0.985361635684967,0.990917444229126,0.9912647008895874,0.9899433851242065
4,10,6,0.4,uniform_distro,0.45,0.7025406360626221,0.7025406360626221,0.9878596663475037,0.916248619556427,0.7277804613113403,0.8645557165145874,0.9541976451873779
4,10,6,0.4,normal_distro,0.45,0.649779736995697,0.950332522392273,0.9222515821456909,0.649779736995697,0.8633063435554504,0.754019021987915,0.9852107763290405
4,10,6,0.4,noiseless_ideal,0.9,0.9122524261474609,0.9858324527740479,0.9122524261474609,0.9613358378410339,0.9711424112319946,0.9896127581596375,0.9919787645339966
4,10,6,0.4,uniform_distro,0.9,0.7148396968841553,0.995480477809906,0.8133389353752136,0.9435334205627441,0.7148396968841553,0.7406148910522461,0.9693099856376648
4,10,6,0.4,normal_distro,0.9,0.8371181488037109,0.9523294568061829,0.9037502408027649,0.9514141082763672,0.9516410231590271,0.8371181488037109,0.980294942855835
4,10,6,0.4,noiseless_ideal,1.8,0.9201185703277588,0.9329155087471008,0.9201185703277588,0.9676868915557861,0.977212131023407,0.9984325766563416,0.9655017852783203
4,10,6,0.4,uniform_distro,1.8,0.7697669267654419,0.8879600763320923,0.8753690719604492,0.9805376529693604,0.9205517172813416,0.9027814865112305,0.7697669267654419
4,10,6,0.4,normal_distro,1.8,0.8299592733383179,0.9738650321960449,0.8299592733383179,0.971888542175293,0.8915308713912964,0.8953779935836792,0.9111753702163696
4,10,6,0.8,noiseless_ideal,0.45,0.9636616110801697,0.9822162389755249,0.9966145753860474,0.9873225688934326,0.9636616110801697,0.9969059228897095,0.9719096422195435
4,10,6,0.8,uniform_distro,0.45,0.7153717279434204,0.8825448155403137,0.9672609567642212,0.9812964200973511,0.7153717279434204,0.9214494824409485,0.9617733955383301
4,10,6,0.8,normal_distro,0.45,0.705169677734375,0.9969439506530762,0.9699052572250366,0.705169677734375,0.9649600982666016,0.7804967164993286,0.984980046749115
4,10,6,0.8,noiseless_ideal,0.9,0.9193918704986572,0.9636380672454834,0.9952607750892639,0.972206711769104,0.9818503856658936,0.9193918704986572,0.9765673875808716
4,10,6,0.8,uniform_distro,0.9,0.8326075077056885,0.8326075077056885,0.9179069399833679,0.8652663826942444,0.9668118953704834,0.9076628088951111,0.9835389256477356
4,10,6,0.8,normal_distro,0.9,0.8773805499076843,0.8773805499076843,0.9902681708335876,0.9455510377883911,0.988827109336853,0.9528011083602905,0.9631050229072571
4,10,6,0.8,noiseless_ideal,1.8,0.8527536392211914,0.9635338187217712,0.8893043994903564,0.933407723903656,0.9583080410957336,0.9217796921730042,0.8527536392211914
4,10,6,0.8,uniform_distro,1.8,0.8548974394798279,0.99825119972229,0.8548974394798279,0.9692339301109314,0.9458433389663696,0.8745213747024536,0.984068751335144
4,10,6,0.8,normal_distro,1.8,0.8087108135223389,0.9661386013031006,0.8087108135223389,0.9771140813827515,0.8256772756576538,0.9485659599304199,0.9325783252716064
4,10,13,0.2,noiseless_ideal,0.45,0.988140881061554,0.9988776445388794,0.9921371936798096,0.988140881061554,0.9968774914741516,0.9943690299987793,0.9896618723869324
4,10,13,0.2,uniform_distro,0.45,0.7692842483520508,0.8763744831085205,0.7692842483520508,0.9328883290290833,0.7885586023330688,0.9233111143112183,0.8978266716003418
4,10,13,0.2,normal_distro,0.45,0.32448458671569824,0.9912505149841309,0.5135709643363953,0.957406759262085,0.32448458671569824,0.5768157243728638,0.9945326447486877
4,10,13,0.2,noiseless_ideal,0.9,0.9549257755279541,0.9730896353721619,0.9549257755279541,0.9945573806762695,0.9883304834365845,0.9646293520927429,0.9861942529678345
4,10,13,0.2,uniform_distro,0.9,0.8764829635620117,0.9960009455680847,0.9116076827049255,0.9567071795463562,0.9774704575538635,0.8764829635620117,0.9597029685974121
4,10,13,0.2,normal_distro,0.9,0.8914913535118103,0.9714387655258179,0.9463008046150208,0.9526354670524597,0.9782001972198486,0.8914913535118103,0.9933283925056458
4,10,13,0.2,noiseless_ideal,1.8,0.9318660497665405,0.9885618686676025,0.9945130348205566,0.9880995750427246,0.9756674766540527,0.9781756401062012,0.9318660497665405
4,10,13,0.2,uniform_distro,1.8,0.9068270921707153,0.9561108350753784,0.9068270921707153,0.9216448068618774,0.9118313789367676,0.9596513509750366,0.9724698066711426
4,10,13,0.2,normal_distro,1.8,0.8833904266357422,0.9551073312759399,0.8833904266357422,0.9407604932785034,0.9815295338630676,0.9321120381355286,0.9351080060005188
4,10,13,0.4,noiseless_ideal,0.45,0.9868454933166504,0.9983787536621094,0.9868454933166504,0.9902932047843933,0.9907203912734985,0.9923306703567505,0.998504638671875
4,10,13,0.4,uniform_distro,0.45,0.8670152425765991,0.9863553047180176,0.8670152425765991,0.8818063735961914,0.9831101298332214,0.9624387621879578,0.8928630948066711
4,10,13,0.4,normal_distro,0.45,0.9714310765266418,0.9894870519638062,0.9904521703720093,0.9893935918807983,0.9714310765266418,0.995689332485199,0.9912805557250977
4,10,13,0.4,noiseless_ideal,0.9,0.9492007493972778,0.9926103353500366,0.995720624923706,0.9492007493972778,0.9842256903648376,0.9938614368438721,0.9958189129829407
4,10,13,0.4,uniform_distro,0.9,0.9539597034454346,0.9539597034454346,0.9717956781387329,0.9839552044868469,0.99525386095047,0.9659473896026611,0.9884801506996155
4,10,13,0.4,normal_distro,0.9,0.9066426753997803,0.9934972524642944,0.9066426753997803,0.9671184420585632,0.9265760183334351,0.982365071773529,0.9924192428588867
4,10,13,0.4,noiseless_ideal,1.8,0.941515326499939,0.9910810589790344,0.9977527856826782,0.9777193069458008,0.9551961421966553,0.9846048355102539,0.941515326499939
4,10,13,0.4,uniform_distro,1.8,0.8128601312637329,0.940230667591095,0.899114191532135,0.8128601312637329,0.8331794738769531,0.9807734489440918,0.9625637531280518
4,10,13,0.4,normal_distro,1.8,0.7144225835800171,0.9435389041900635,0.7144225835800171,0.7677550315856934,0.936585009098053,0.9305486679077148,0.9689236879348755
4,10,13,0.8,noiseless_ideal,0.45,0.9969797134399414,0.9982489347457886,0.9992222785949707,0.9990445971488953,0.9969797134399414,0.9972294569015503,0.998947024345398
