Sequence Length,Std,Population Size,Num Generations,Crossover Rate,Elitism Rate,Init Sol Type,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
512,0.03125,10,6,0.2,0.06,noiseless_ideal,0.9432321786880493,0.9504923820495605,0.9442768096923828,0.9432321786880493,0.9553926587104797,0.9534958600997925,0.9585931301116943
512,0.03125,10,6,0.2,0.06,uniform_distro,0.782382607460022,0.782382607460022,0.8360867500305176,0.9343053698539734,0.8718636631965637,0.9108908176422119,0.953336775302887
512,0.03125,10,6,0.2,0.06,normal_distro,-0.233371764421463,0.9318702220916748,0.46639034152030945,-0.233371764421463,0.07142861187458038,0.2659929096698761,0.9346588253974915
512,0.03125,10,6,0.2,0.12,noiseless_ideal,0.9412449598312378,0.9495676159858704,0.9498032331466675,0.9412449598312378,0.9529370665550232,0.9512876272201538,0.9556013941764832
512,0.03125,10,6,0.2,0.12,uniform_distro,0.503069281578064,0.9458423256874084,0.8369470834732056,0.503069281578064,0.9008634090423584,0.9070680141448975,0.9313937425613403
512,0.03125,10,6,0.2,0.12,normal_distro,-0.33636415004730225,0.9403983354568481,0.388151079416275,-0.33636415004730225,0.10263143479824066,0.25824081897735596,0.9389533996582031
512,0.03125,10,6,0.2,0.24,noiseless_ideal,0.9443609118461609,0.9492615461349487,0.9510675668716431,0.9443609118461609,0.9548003673553467,0.9503049850463867,0.9550801515579224
512,0.03125,10,6,0.2,0.24,uniform_distro,0.6337237358093262,0.8490433096885681,0.9129133820533752,0.9064610004425049,0.9154560565948486,0.8730067014694214,0.6337237358093262
512,0.03125,10,6,0.2,0.24,normal_distro,-0.20657682418823242,0.9333012700080872,0.5358548164367676,-0.20657682418823242,0.07023508846759796,0.34689730405807495,0.9295324087142944
512,0.03125,10,6,0.4,0.06,noiseless_ideal,0.9444780349731445,0.9461984634399414,0.9512589573860168,0.9444780349731445,0.9527972340583801,0.9524024128913879,0.9579911231994629
512,0.03125,10,6,0.4,0.06,uniform_distro,0.5162880420684814,0.8994534015655518,0.8501226902008057,0.8569369912147522,0.8375841379165649,0.5162880420684814,0.8535160422325134
512,0.03125,10,6,0.4,0.06,normal_distro,-0.25718700885772705,0.9366458058357239,0.45595884323120117,-0.25718700885772705,0.13001662492752075,0.2716192603111267,0.9369805455207825
512,0.03125,10,6,0.4,0.12,noiseless_ideal,0.9460933208465576,0.9460933208465576,0.9505069851875305,0.9469084739685059,0.9547067880630493,0.9538394808769226,0.9581299424171448
512,0.03125,10,6,0.4,0.12,uniform_distro,0.58878493309021,0.8535512685775757,0.7956250309944153,0.7990197539329529,0.58878493309021,0.8498429656028748,0.8279623985290527
512,0.03125,10,6,0.4,0.12,normal_distro,-0.07730505615472794,0.9364122152328491,0.47606509923934937,-0.07730505615472794,0.050565578043460846,0.26431572437286377,0.906355082988739
512,0.03125,10,6,0.4,0.24,noiseless_ideal,0.941834568977356,0.9493342638015747,0.9526391625404358,0.941834568977356,0.9547318816184998,0.952670693397522,0.9583587050437927
