Sequence Length,Num Iters,Std,Init Sol Type,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
32,1000,0.03125,noiseless_ideal,0.9979658126831055,0.9979658126831055,0.9987348318099976,0.9996594786643982,0.9991020560264587,0.9985543489456177,0.998471200466156
32,500,0.03125,noiseless_ideal,0.9979057312011719,0.9982675313949585,0.9982120990753174,0.9993963837623596,0.9990935325622559,0.9986627101898193,0.9979057312011719
8,1000,0.03125,noiseless_ideal,0.9973469972610474,0.998736560344696,0.9982452392578125,0.9973910450935364,0.9984618425369263,0.9974876046180725,0.9973469972610474
16,500,0.03125,noiseless_ideal,0.9967314004898071,0.9971859455108643,0.9974247217178345,0.9967314004898071,0.9975807666778564,0.9968000650405884,0.9976446032524109
16,1000,0.03125,uniform_distro,0.9964392781257629,0.9971785545349121,0.997877299785614,0.9984232187271118,0.9982478618621826,0.9976130723953247,0.9964392781257629
8,500,0.03125,uniform_distro,0.9962676763534546,0.9981961250305176,0.9970594048500061,0.9979408979415894,0.9965769052505493,0.9962676763534546,0.9973516464233398
32,500,0.0625,noiseless_ideal,0.9958176612854004,0.9958176612854004,0.9979223608970642,0.9995220899581909,0.9990985989570618,0.9985259771347046,0.9974337816238403
32,125,0.03125,noiseless_ideal,0.9958062171936035,0.9958062171936035,0.9979606866836548,0.9996016621589661,0.9990642666816711,0.998583972454071,0.9962741136550903
32,250,0.03125,noiseless_ideal,0.9957692623138428,0.9957692623138428,0.9983924031257629,0.9958876371383667,0.999055802822113,0.9985314607620239,0.997724711894989
32,500,0.03125,uniform_distro,0.9957582950592041,0.9971894025802612,0.9979063272476196,0.9960861206054688,0.9982757568359375,0.9957582950592041,0.9977805614471436
4,1000,0.03125,noiseless_ideal,0.9955989122390747,0.9965277910232544,0.9976998567581177,0.9955989122390747,0.9971061944961548,0.9962692260742188,0.998555064201355
32,1000,0.0625,noiseless_ideal,0.9955825805664062,0.9976356029510498,0.9980611801147461,0.9989030361175537,0.9991286993026733,0.9985966682434082,0.9955825805664062
16,1000,0.03125,normal_distro,0.9954122304916382,0.9975535869598389,0.9967259764671326,0.9954122304916382,0.9971029758453369,0.9984581470489502,0.9961732625961304
16,250,0.03125,uniform_distro,0.995290994644165,0.995290994644165,0.9959089159965515,0.9968061447143555,0.9959703087806702,0.9957050681114197,0.9954537153244019
64,1000,0.0625,uniform_distro,0.995239794254303,0.9970847964286804,0.9956466555595398,0.9967808127403259,0.9981489181518555,0.9969562888145447,0.995239794254303
64,1000,0.03125,uniform_distro,0.9951688051223755,0.9964793920516968,0.9951688051223755,0.9964861869812012,0.9970304369926453,0.9970370531082153,0.9952797293663025
16,1000,0.03125,noiseless_ideal,0.9948772192001343,0.9985476136207581,0.9973418116569519,0.9966596961021423,0.9948772192001343,0.9976072311401367,0.9950746297836304
32,1000,0.03125,uniform_distro,0.9946168065071106,0.9988183379173279,0.9979864358901978,0.9946168065071106,0.9986017942428589,0.9973775148391724,0.9984700679779053
64,250,0.125,noiseless_ideal,0.9945414066314697,0.9947645664215088,0.9958107471466064,0.9947439432144165,0.9945414066314697,0.9953241348266602,0.9966045618057251
64,1000,0.125,noiseless_ideal,0.9945244193077087,0.9946668148040771,0.9971874356269836,0.9945244193077087,0.9945632815361023,0.9954301118850708,0.9966431856155396
