Sequence Length,Population Size,Num Generations,Crossover Rate,Init Sol Type,Differential Weight,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
4,5,6,0.2,noiseless_ideal,0.45,0.9210010766983032,0.9875240325927734,0.987293541431427,0.9901362657546997,0.9982577562332153,0.9965516328811646,0.9210010766983032
4,5,6,0.2,uniform_distro,0.45,0.6863296031951904,0.7393893599510193,0.6863296031951904,0.8510235548019409,0.9020048975944519,0.7214868068695068,0.9621310234069824
4,5,6,0.2,normal_distro,0.45,0.4325977861881256,0.9602104425430298,0.43342065811157227,0.654870331287384,0.8656669855117798,0.4325977861881256,0.97898268699646
4,5,6,0.2,noiseless_ideal,0.9,0.8531994819641113,0.9570169448852539,0.8962053060531616,0.9936737418174744,0.9764342308044434,0.984054446220398,0.8531994819641113
4,5,6,0.2,uniform_distro,0.9,0.6565147042274475,0.8783565759658813,0.6565147042274475,0.7626703381538391,0.8748704195022583,0.8603311777114868,0.7295197248458862
4,5,6,0.2,normal_distro,0.9,0.6065433025360107,0.9820364117622375,0.8589696884155273,0.6065433025360107,0.8441512584686279,0.8131368160247803,0.9786463975906372
4,5,6,0.2,noiseless_ideal,1.8,0.7798820734024048,0.9405906796455383,0.9637203812599182,0.941808819770813,0.9403815865516663,0.974818229675293,0.7798820734024048
4,5,6,0.2,uniform_distro,1.8,0.42996060848236084,0.9163379669189453,0.7850313186645508,0.6011064052581787,0.9648240804672241,0.8906530141830444,0.42996060848236084
4,5,6,0.2,normal_distro,1.8,0.5548437833786011,0.9900884628295898,0.785541296005249,0.5548437833786011,0.7399612665176392,0.9275951981544495,0.9249516129493713
4,5,6,0.4,noiseless_ideal,0.45,0.9351135492324829,0.9778335094451904,0.9551841020584106,0.9569022059440613,0.9909356236457825,0.9869681596755981,0.9351135492324829
4,5,6,0.4,uniform_distro,0.45,0.47228753566741943,0.9859251976013184,0.632875382900238,0.47228753566741943,0.7226142883300781,0.8360264897346497,0.8577300310134888
4,5,6,0.4,normal_distro,0.45,0.4821949303150177,0.9602743983268738,0.4821949303150177,0.6146588325500488,0.6565390825271606,0.8152978420257568,0.9762120842933655
4,5,6,0.4,noiseless_ideal,0.9,0.9178406596183777,0.9920561909675598,0.9309771656990051,0.9853843450546265,0.9676428437232971,0.9853484034538269,0.9178406596183777
4,5,6,0.4,uniform_distro,0.9,0.6517492532730103,0.9367424845695496,0.8105950951576233,0.6517492532730103,0.8209455013275146,0.9137012958526611,0.8723709583282471
4,5,6,0.4,normal_distro,0.9,0.799022376537323,0.9100341200828552,0.8479622006416321,0.799022376537323,0.8571019172668457,0.8746992349624634,0.973936915397644
4,5,6,0.4,noiseless_ideal,1.8,0.8055959939956665,0.9541860818862915,0.9821032285690308,0.8055959939956665,0.8348414897918701,0.9795085787773132,0.9880800843238831
4,5,6,0.4,uniform_distro,1.8,0.6459752917289734,0.9608852863311768,0.7901430726051331,0.6459752917289734,0.7367069721221924,0.9744899272918701,0.8273031711578369
4,5,6,0.4,normal_distro,1.8,0.7200902700424194,0.9610737562179565,0.8239707946777344,0.8173488974571228,0.993422269821167,0.7200902700424194,0.8703474402427673
4,5,6,0.8,noiseless_ideal,0.45,0.9859051704406738,0.9918726682662964,0.9878207445144653,0.9918296337127686,0.9955489635467529,0.9859051704406738,0.9881643652915955
4,5,6,0.8,uniform_distro,0.45,0.7866320610046387,0.8657433986663818,0.9130638241767883,0.8492653369903564,0.7866320610046387,0.9095925092697144,0.8865400552749634
4,5,6,0.8,normal_distro,0.45,0.7757105827331543,0.9927321672439575,0.7757105827331543,0.8158631920814514,0.920867383480072,0.985392153263092,0.9745648503303528
4,5,6,0.8,noiseless_ideal,0.9,0.8769117593765259,0.9028691053390503,0.9803017973899841,0.8769117593765259,0.996399998664856,0.9310855865478516,0.992569088935852
4,5,6,0.8,uniform_distro,0.9,0.7180439233779907,0.9874901175498962,0.7180439233779907,0.8208321928977966,0.8956375122070312,0.7862194776535034,0.9297678470611572
4,5,6,0.8,normal_distro,0.9,0.6185175180435181,0.9679528474807739,0.782425045967102,0.6846357583999634,0.9829692840576172,0.6185175180435181,0.8271043300628662
4,5,6,0.8,noiseless_ideal,1.8,0.8975136280059814,0.9420127868652344,0.966292142868042,0.8975136280059814,0.9045684337615967,0.9654629230499268,0.928356945514679
4,5,6,0.8,uniform_distro,1.8,0.6994054317474365,0.9700353741645813,0.9741106033325195,0.8627152442932129,0.9429534077644348,0.6994054317474365,0.9373186230659485
4,5,6,0.8,normal_distro,1.8,0.5295361280441284,0.8898960947990417,0.8674266338348389,0.8074958324432373,0.7001593708992004,0.5295361280441284,0.9505593776702881
4,5,13,0.2,noiseless_ideal,0.45,0.9300627708435059,0.9803718328475952,0.9703050851821899,0.9448103904724121,0.9300627708435059,0.9866213202476501,0.9833524823188782
4,5,13,0.2,uniform_distro,0.45,0.801365077495575,0.9002658724784851,0.9393883347511292,0.801365077495575,0.9765737056732178,0.9051077961921692,0.9457664489746094
4,5,13,0.2,normal_distro,0.45,0.3807733356952667,0.9843381643295288,0.5819004774093628,0.8937740921974182,0.5201254487037659,0.3807733356952667,0.9786392450332642
4,5,13,0.2,noiseless_ideal,0.9,0.8599174618721008,0.948233425617218,0.8599174618721008,0.990795373916626,0.9771773815155029,0.99275803565979,0.984167754650116
