Sequence Length,Std,Population Size,Num Generations,Crossover Rate,Elitism Rate,Init Sol Type,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
4,0.03125,10,6,0.2,0.06,noiseless_ideal,0.9232495427131653,0.9764243364334106,0.9514912962913513,0.9673044681549072,0.9232495427131653,0.9756718873977661,0.9928758144378662
4,0.03125,10,6,0.2,0.06,uniform_distro,0.9437316656112671,0.9437316656112671,0.9599632620811462,0.9877200126647949,0.9822225570678711,0.948306679725647,0.9637729525566101
4,0.03125,10,6,0.2,0.06,normal_distro,0.8205177783966064,0.9812993407249451,0.9026408195495605,0.9511470198631287,0.968161940574646,0.8205177783966064,0.9773561954498291
4,0.03125,10,6,0.2,0.12,noiseless_ideal,0.9044270515441895,0.952701210975647,0.9943987727165222,0.9857765436172485,0.9044270515441895,0.9950796365737915,0.9841282367706299
4,0.03125,10,6,0.2,0.12,uniform_distro,0.8266947269439697,0.9424676895141602,0.9016228318214417,0.987125039100647,0.8266947269439697,0.9387728571891785,0.931151270866394
4,0.03125,10,6,0.2,0.12,normal_distro,0.771834135055542,0.9308424592018127,0.8929816484451294,0.771834135055542,0.9139289259910583,0.8426456451416016,0.9903112053871155
4,0.03125,10,6,0.2,0.24,noiseless_ideal,0.9508370757102966,0.983826756477356,0.9532653093338013,0.9605273604393005,0.9912063479423523,0.9930659532546997,0.9508370757102966
4,0.03125,10,6,0.2,0.24,uniform_distro,0.792777419090271,0.8754392862319946,0.9639997482299805,0.792777419090271,0.861891508102417,0.898723304271698,0.9425352811813354
4,0.03125,10,6,0.2,0.24,normal_distro,0.7979534268379211,0.9987341165542603,0.8390053510665894,0.8691594004631042,0.8875168561935425,0.7979534268379211,0.975923478603363
4,0.03125,10,6,0.4,0.06,noiseless_ideal,0.9553627371788025,0.9869331121444702,0.9553627371788025,0.9918374419212341,0.9729410409927368,0.9670286178588867,0.9894001483917236
4,0.03125,10,6,0.4,0.06,uniform_distro,0.6626731157302856,0.9894304275512695,0.8728618621826172,0.9184241890907288,0.9884812831878662,0.6626731157302856,0.915786623954773
4,0.03125,10,6,0.4,0.06,normal_distro,0.7621415853500366,0.9247027635574341,0.8738493919372559,0.7621415853500366,0.9399867057800293,0.9637199640274048,0.8610379099845886
4,0.03125,10,6,0.4,0.12,noiseless_ideal,0.8419373035430908,0.9803217649459839,0.9056503772735596,0.9618107676506042,0.8419373035430908,0.988838791847229,0.9588587284088135
4,0.03125,10,6,0.4,0.12,uniform_distro,0.7693263292312622,0.9645593166351318,0.7693263292312622,0.9322052597999573,0.8841424584388733,0.783300518989563,0.8609035015106201
4,0.03125,10,6,0.4,0.12,normal_distro,0.8433788418769836,0.8661050796508789,0.8433788418769836,0.9300859570503235,0.9238030910491943,0.9256139993667603,0.9433096051216125
4,0.03125,10,6,0.4,0.24,noiseless_ideal,0.9301183223724365,0.9711055159568787,0.9301183223724365,0.9319999814033508,0.9797171354293823,0.969204306602478,0.9461055397987366
