Mutation Max Amount,Mutation Rate,Crossover Rate,Elitism Rate,Sequence Length,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
0.125,0.5,0.5,0.25,128,0.9810311794281006,0.9859727025032043,0.9843464493751526,0.9810311794281006,0.9844378232955933,0.9841901063919067,0.9835711717605591
0.125,0.125,0.5,0.5,128,0.9808140397071838,0.9832095503807068,0.9873297810554504,0.9858579039573669,0.9808140397071838,0.9833289980888367,0.9820581674575806
0.125,0.25,0.5,0.125,128,0.9789678454399109,0.9789678454399109,0.9879975318908691,0.9843880534172058,0.9828264713287354,0.9878654479980469,0.9836894273757935
0.125,0.125,0.25,0.25,128,0.9774308204650879,0.9774308204650879,0.9827208518981934,0.9842693209648132,0.9824092388153076,0.9856866598129272,0.9834022521972656
0.25,0.125,0.25,0.125,128,0.9758942723274231,0.9774814248085022,0.9758942723274231,0.9816155433654785,0.9816856384277344,0.9836679697036743,0.9824200868606567
0.125,0.5,0.125,0.5,128,0.9751973152160645,0.985910177230835,0.9851245880126953,0.9825438857078552,0.9778943657875061,0.9751973152160645,0.9833834171295166
0.125,0.5,0.25,0.5,128,0.9749501943588257,0.9749501943588257,0.9831570386886597,0.9851084351539612,0.9867450594902039,0.9803637862205505,0.9834481477737427
0.125,0.125,0.25,0.125,128,0.9743748903274536,0.9743748903274536,0.9835846424102783,0.979984700679779,0.9771544933319092,0.9840602278709412,0.9815148115158081
0.125,0.25,0.5,0.25,128,0.9741966724395752,0.9741966724395752,0.9829070568084717,0.9770655035972595,0.9845147728919983,0.9866817593574524,0.9855028390884399
0.125,0.25,0.25,0.25,128,0.9739096164703369,0.9825538992881775,0.9790533185005188,0.9739096164703369,0.9761537313461304,0.9798715114593506,0.9821611642837524
0.125,0.125,0.125,0.25,128,0.9718170166015625,0.9816546440124512,0.9862076044082642,0.9859532713890076,0.9790518283843994,0.9718170166015625,0.9851694703102112
0.125,0.125,0.125,0.5,128,0.9711778163909912,0.9777604341506958,0.9711778163909912,0.9847937226295471,0.9790744781494141,0.9745123386383057,0.9816268086433411
0.25,0.5,0.5,0.125,128,0.9711508750915527,0.9787084460258484,0.9802935123443604,0.9803521633148193,0.9740957617759705,0.9835634231567383,0.9711508750915527
0.25,0.25,0.125,0.25,128,0.9707129001617432,0.9707129001617432,0.9801173210144043,0.9780223369598389,0.982595682144165,0.9754440188407898,0.9723720550537109
0.125,0.5,0.5,0.5,128,0.9702779054641724,0.9846601486206055,0.9757574796676636,0.9735615253448486,0.9749325513839722,0.9702779054641724,0.9862946271896362
0.25,0.125,0.125,0.25,128,0.9701515436172485,0.9759547710418701,0.9756208658218384,0.9883375763893127,0.9847207069396973,0.9701515436172485,0.9734581708908081
0.125,0.5,0.25,0.125,128,0.970099687576294,0.986957311630249,0.9786638617515564,0.9804494380950928,0.970099687576294,0.975587010383606,0.9890918731689453
0.125,0.25,0.5,0.25,256,0.9695020914077759,0.9697865843772888,0.9727838039398193,0.970430850982666,0.9697592258453369,0.9726917147636414,0.9695020914077759
0.125,0.25,0.125,0.5,128,0.9692937135696411,0.9840265512466431,0.9853742122650146,0.9710719585418701,0.9692937135696411,0.9746403694152832,0.9830392599105835
0.125,0.5,0.125,0.125,128,0.9685899615287781,0.9847245216369629,0.9877519607543945,0.9804067015647888,0.9685899615287781,0.9690760374069214,0.9828176498413086
0.125,0.125,0.5,0.25,128,0.9684657454490662,0.9870344400405884,0.985161304473877,0.9815661907196045,0.9829663038253784,0.9684657454490662,0.982416033744812
0.25,0.25,0.25,0.5,128,0.9681186676025391,0.9681186676025391,0.9774394035339355,0.9704850316047668,0.978010892868042,0.9815645217895508,0.9863556623458862
0.125,0.5,0.5,0.125,256,0.9670521020889282,0.9670521020889282,0.9750412702560425,0.9699976444244385,0.9680039286613464,0.9737837314605713,0.9686594009399414
0.125,0.5,0.125,0.5,256,0.9669451117515564,0.9719521999359131,0.9731987714767456,0.9701882004737854,0.9669451117515564,0.9692937135696411,0.9719842672348022
0.25,0.5,0.25,0.125,128,0.9667694568634033,0.9839380383491516,0.9816360473632812,0.9811673164367676,0.9680196046829224,0.9667694568634033,0.9736723899841309
0.25,0.25,0.125,0.125,128,0.9667652249336243,0.9770745635032654,0.9676193594932556,0.9727348685264587,0.9821028709411621,0.9667652249336243,0.9800416827201843
0.125,0.5,0.5,0.5,256,0.9661943912506104,0.9715118408203125,0.9766054153442383,0.9663043022155762,0.9661943912506104,0.966291069984436,0.9670791625976562
0.125,0.5,0.5,0.25,256,0.9658963680267334,0.9755915999412537,0.9696749448776245,0.9665225744247437,0.9658963680267334,0.9684861302375793,0.9719855189323425
0.125,0.125,0.25,0.5,128,0.965885579586029,0.9828711152076721,0.9841494560241699,0.9768365621566772,0.965885579586029,0.9845458269119263,0.9794028401374817
0.25,0.5,0.125,0.5,256,0.9655389785766602,0.9755136966705322,0.9667150974273682,0.9675993919372559,0.9655389785766602,0.9818906188011169,0.9738247394561768
0.125,0.25,0.25,0.25,256,0.9651458263397217,0.9735485911369324,0.9740589261054993,0.9688365459442139,0.9651458263397217,0.9721712470054626,0.9674990773200989
0.125,0.25,0.125,0.5,256,0.9648252129554749,0.9681727290153503,0.9725569486618042,0.9713846445083618,0.9742522239685059,0.9648252129554749,0.9692510366439819
0.125,0.125,0.125,0.5,256,0.9645181894302368,0.9719393253326416,0.972660481929779,0.9709358215332031,0.9645181894302368,0.9681700468063354,0.9653259515762329
0.25,0.5,0.125,0.125,128,0.9645161628723145,0.9803875088691711,0.9645161628723145,0.9808515310287476,0.9771270751953125,0.9795364141464233,0.9756996631622314
