Sequence Length,Population Size,Num Generations,Crossover Rate,Init Sol Type,Differential Weight,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
64,5,25,0.8,normal_distro,0.45,0.27748608589172363,0.9291618466377258,0.27748608589172363,0.4400811493396759,0.2888285517692566,0.4072420597076416,0.9946044683456421
64,5,25,0.8,noiseless_ideal,0.9,0.9950449466705322,0.9967622756958008,0.9955039024353027,0.9958152770996094,0.9968172311782837,0.9957150220870972,0.9950449466705322
64,5,25,0.8,uniform_distro,0.9,0.8817645907402039,0.8879361152648926,0.9905979633331299,0.9739391803741455,0.9755929112434387,0.9635156393051147,0.8817645907402039
64,5,25,0.8,normal_distro,0.9,0.9232774972915649,0.9814211130142212,0.9656770825386047,0.9587147235870361,0.9801488518714905,0.9232774972915649,0.9899633526802063
64,5,25,0.8,noiseless_ideal,1.8,0.974496603012085,0.9960607290267944,0.9844698905944824,0.9763398766517639,0.981783390045166,0.974496603012085,0.9775747060775757
64,5,25,0.8,uniform_distro,1.8,0.9295532703399658,0.9882993698120117,0.9666443467140198,0.9426431655883789,0.9648938775062561,0.9295532703399658,0.959566593170166
64,5,25,0.8,normal_distro,1.8,0.9031165838241577,0.9812784194946289,0.9792544841766357,0.9145087003707886,0.9573854207992554,0.9031165838241577,0.9878177642822266
64,10,6,0.2,noiseless_ideal,0.45,0.990903377532959,0.9952707886695862,0.9932857751846313,0.9948580265045166,0.9947690963745117,0.9923918843269348,0.990903377532959
64,10,6,0.2,uniform_distro,0.45,0.8587175607681274,0.9813891053199768,0.8630578517913818,0.9303402900695801,0.8587175607681274,0.8944635391235352,0.9689652323722839
64,10,6,0.2,normal_distro,0.45,-0.06661199033260345,0.9459385871887207,0.2492845356464386,-0.06661199033260345,0.19934722781181335,0.399697482585907,0.9730191230773926
64,10,6,0.2,noiseless_ideal,0.9,0.9905875325202942,0.9905875325202942,0.9923884868621826,0.9933996200561523,0.9935694932937622,0.9918505549430847,0.9934338331222534
64,10,6,0.2,uniform_distro,0.9,0.8087548613548279,0.8087548613548279,0.9567005634307861,0.9394786953926086,0.9429221749305725,0.9344961643218994,0.8223565816879272
64,10,6,0.2,normal_distro,0.9,0.2856309115886688,0.9199659824371338,0.5533936023712158,0.44620048999786377,0.2856309115886688,0.43332886695861816,0.9378033876419067
64,10,6,0.2,noiseless_ideal,1.8,0.9870924949645996,0.9870924949645996,0.9907683730125427,0.9958271384239197,0.9893298149108887,0.9891963005065918,0.994127631187439
64,10,6,0.2,uniform_distro,1.8,0.8868029117584229,0.8868029117584229,0.930576741695404,0.9166944026947021,0.970629870891571,0.9595391750335693,0.9536648392677307
64,10,6,0.2,normal_distro,1.8,0.6868083477020264,0.9253103733062744,0.9367398023605347,0.8665863275527954,0.6868083477020264,0.7386113405227661,0.9640184640884399
64,10,6,0.4,noiseless_ideal,0.45,0.9749364256858826,0.9943950176239014,0.9950261116027832,0.9749364256858826,0.9968867301940918,0.9957211017608643,0.9955331087112427
64,10,6,0.4,uniform_distro,0.45,0.7551553249359131,0.7551553249359131,0.8709713816642761,0.9719337821006775,0.8468799591064453,0.8917913436889648,0.9085489511489868
64,10,6,0.4,normal_distro,0.45,0.26235318183898926,0.9013538360595703,0.727005124092102,0.26235318183898926,0.2810390591621399,0.3465891480445862,0.9639379978179932
64,10,6,0.4,noiseless_ideal,0.9,0.9848884344100952,0.9903503060340881,0.9912993907928467,0.9848884344100952,0.9958909749984741,0.9931747913360596,0.9918150901794434
64,10,6,0.4,uniform_distro,0.9,0.8098959922790527,0.8098959922790527,0.8209381103515625,0.8827211260795593,0.8869515061378479,0.990297794342041,0.8311830163002014
64,10,6,0.4,normal_distro,0.9,0.3283786177635193,0.9473498463630676,0.867296576499939,0.9755951762199402,0.3283786177635193,0.41556745767593384,0.9643642902374268
64,10,6,0.4,noiseless_ideal,1.8,0.9823204874992371,0.9823204874992371,0.9946198463439941,0.9867485165596008,0.9974604845046997,0.9866483211517334,0.9860081076622009
64,10,6,0.4,uniform_distro,1.8,0.8066728115081787,0.9417980909347534,0.9609520435333252,0.9821150302886963,0.9573246240615845,0.9894784688949585,0.8066728115081787
64,10,6,0.4,normal_distro,1.8,0.7537099123001099,0.9642326831817627,0.8287506103515625,0.8013814687728882,0.7537099123001099,0.9718334078788757,0.9600287675857544
64,10,6,0.8,noiseless_ideal,0.45,0.9908300638198853,0.9971072673797607,0.9955745935440063,0.996943473815918,0.9908300638198853,0.9965220093727112,0.9930124878883362
64,10,6,0.8,uniform_distro,0.45,0.8021003007888794,0.9627214670181274,0.8021003007888794,0.9048004746437073,0.9356712698936462,0.9296967387199402,0.8919302821159363
64,10,6,0.8,normal_distro,0.45,0.26902592182159424,0.9797241687774658,0.9797747135162354,0.3531198501586914,0.26902592182159424,0.32792794704437256,0.9406055808067322
64,10,6,0.8,noiseless_ideal,0.9,0.9896836876869202,0.9948753714561462,0.9944013357162476,0.9967951774597168,0.9949908256530762,0.9896836876869202,0.993902325630188
64,10,6,0.8,uniform_distro,0.9,0.9225864410400391,0.9872852563858032,0.9386749267578125,0.940422534942627,0.9225864410400391,0.9772320985794067,0.9702463150024414
64,10,6,0.8,normal_distro,0.9,0.7626189589500427,0.9840379953384399,0.7626189589500427,0.7905696034431458,0.8075894117355347,0.9377211332321167,0.9932988286018372
64,10,6,0.8,noiseless_ideal,1.8,0.9755409955978394,0.9965670108795166,0.9889622926712036,0.9755409955978394,0.9915152788162231,0.9923825263977051,0.989945113658905
64,10,6,0.8,uniform_distro,1.8,0.8648697137832642,0.8935748338699341,0.8649389743804932,0.9590105414390564,0.9042208790779114,0.8648697137832642,0.9033840894699097
64,10,6,0.8,normal_distro,1.8,0.784207820892334,0.9559249877929688,0.784207820892334,0.951451301574707,0.8240657448768616,0.9175131320953369,0.9691253900527954
64,10,13,0.2,noiseless_ideal,0.45,0.9938752055168152,0.9967897534370422,0.9960662126541138,0.9960839152336121,0.9968138337135315,0.995270848274231,0.9938752055168152
64,10,13,0.2,uniform_distro,0.45,0.8451952338218689,0.979470431804657,0.9394015669822693,0.9847255945205688,0.8958542346954346,0.8451952338218689,0.9445735812187195
64,10,13,0.2,normal_distro,0.45,0.2715551555156708,0.9366049766540527,0.6119778156280518,0.8468912839889526,0.2715551555156708,0.44554588198661804,0.960122287273407
64,10,13,0.2,noiseless_ideal,0.9,0.9948225617408752,0.9965561628341675,0.9948225617408752,0.9966147541999817,0.9974661469459534,0.9964029788970947,0.9952563047409058
64,10,13,0.2,uniform_distro,0.9,0.8975999355316162,0.9893792867660522,0.9561931490898132,0.9861197471618652,0.8975999355316162,0.9707109928131104,0.9601788520812988
64,10,13,0.2,normal_distro,0.9,0.4476420283317566,0.9902633428573608,0.9718716144561768,0.9347595572471619,0.4476420283317566,0.44895994663238525,0.9857172966003418
64,10,13,0.2,noiseless_ideal,1.8,0.9719455242156982,0.9945945739746094,0.9854019284248352,0.9719455242156982,0.9870553016662598,0.9910135865211487,0.9950798749923706
64,10,13,0.2,uniform_distro,1.8,0.9094053506851196,0.9470541477203369,0.9868386387825012,0.9094053506851196,0.930449903011322,0.9822943806648254,0.9594056606292725
64,10,13,0.2,normal_distro,1.8,0.7718719244003296,0.9797250628471375,0.9430077075958252,0.8900314569473267,0.7718719244003296,0.9659518003463745,0.9929842948913574
64,10,13,0.4,noiseless_ideal,0.45,0.9938735365867615,0.9958275556564331,0.9938735365867615,0.9941993355751038,0.9962016344070435,0.9950103759765625,0.9961796998977661
64,10,13,0.4,uniform_distro,0.45,0.8994808793067932,0.8994808793067932,0.958873450756073,0.9501841068267822,0.9827687740325928,0.9203721284866333,0.937281608581543
64,10,13,0.4,normal_distro,0.45,0.3172276020050049,0.973368763923645,0.5949938297271729,0.9277558922767639,0.3172276020050049,0.46698349714279175,0.9515421390533447
64,10,13,0.4,noiseless_ideal,0.9,0.9893831014633179,0.9915059804916382,0.9947103261947632,0.9929421544075012,0.9893831014633179,0.995179295539856,0.993950366973877
64,10,13,0.4,uniform_distro,0.9,0.8125758171081543,0.9627379179000854,0.8847656846046448,0.8125758171081543,0.8828444480895996,0.884292721748352,0.9873241782188416
64,10,13,0.4,normal_distro,0.9,0.4984370470046997,0.9597711563110352,0.8776214122772217,0.9600155353546143,0.4984370470046997,0.8990455269813538,0.9888320565223694
64,10,13,0.4,noiseless_ideal,1.8,0.9715632200241089,0.9936009645462036,0.9887855052947998,0.9795568585395813,0.9936375617980957,0.9715632200241089,0.9910565614700317
64,10,13,0.4,uniform_distro,1.8,0.8962938189506531,0.9133808016777039,0.990253210067749,0.9624009132385254,0.8962938189506531,0.9079618453979492,0.9282318353652954
64,10,13,0.4,normal_distro,1.8,0.7791867256164551,0.9688917398452759,0.9359407424926758,0.7791867256164551,0.9697710275650024,0.9796106815338135,0.9618530869483948
64,10,13,0.8,noiseless_ideal,0.45,0.9939182996749878,0.9963636994361877,0.9960856437683105,0.9953538179397583,0.9976019263267517,0.9939182996749878,0.9945698976516724
64,10,13,0.8,uniform_distro,0.45,0.8733565807342529,0.8733565807342529,0.9883244633674622,0.949959933757782,0.9836238622665405,0.9686746001243591,0.945074737071991
64,10,13,0.8,normal_distro,0.45,0.3491370379924774,0.9619218111038208,0.989811897277832,0.987220048904419,0.3491370379924774,0.938652515411377,0.9879229664802551
64,10,13,0.8,noiseless_ideal,0.9,0.9865083694458008,0.9949824810028076,0.9865083694458008,0.9934542775154114,0.9954039454460144,0.9925448298454285,0.9941884875297546
64,10,13,0.8,uniform_distro,0.9,0.8763293623924255,0.8763293623924255,0.9704325795173645,0.9450925588607788,0.9356161952018738,0.9882563352584839,0.8836389780044556
64,10,13,0.8,normal_distro,0.9,0.9456402063369751,0.9910979270935059,0.9600474834442139,0.9456402063369751,0.9513746500015259,0.9812878370285034,0.9850447177886963
64,10,13,0.8,noiseless_ideal,1.8,0.9816056489944458,0.9957469701766968,0.9873119592666626,0.9816056489944458,0.9949322938919067,0.992976725101471,0.9889300465583801
64,10,13,0.8,uniform_distro,1.8,0.799607515335083,0.799607515335083,0.8918687701225281,0.9446040391921997,0.9684197902679443,0.9500738978385925,0.9297292828559875
64,10,13,0.8,normal_distro,1.8,0.8668264746665955,0.9593352675437927,0.935388445854187,0.8668264746665955,0.9426553845405579,0.8839567303657532,0.9826260209083557
64,10,25,0.2,noiseless_ideal,0.45,0.9957103729248047,0.9963980913162231,0.9964409470558167,0.9957984089851379,0.9977108836174011,0.9957103729248047,0.9964853525161743
64,10,25,0.2,uniform_distro,0.45,0.8682043552398682,0.9846677780151367,0.9744231700897217,0.9118129014968872,0.9470990896224976,0.9528361558914185,0.8682043552398682
64,10,25,0.2,normal_distro,0.45,0.3099292814731598,0.9506769180297852,0.8288308382034302,0.9914396405220032,0.3099292814731598,0.570737361907959,0.9931865930557251
64,10,25,0.2,noiseless_ideal,0.9,0.9943715333938599,0.9970241785049438,0.9943715333938599,0.9953356981277466,0.997873067855835,0.9954293966293335,0.9961469173431396
64,10,25,0.2,uniform_distro,0.9,0.8647854328155518,0.9634201526641846,0.9482049345970154,0.9059589505195618,0.9587142467498779,0.9914399981498718,0.8647854328155518
64,10,25,0.2,normal_distro,0.9,0.3692445755004883,0.9895278215408325,0.9667955636978149,0.9872473478317261,0.3692445755004883,0.5859951972961426,0.9864806532859802
64,10,25,0.2,noiseless_ideal,1.8,0.9814353585243225,0.9814353585243225,0.9923415780067444,0.9960779547691345,0.9913841485977173,0.9872702360153198,0.9939815998077393
64,10,25,0.2,uniform_distro,1.8,0.9438320398330688,0.9699783325195312,0.9560562968254089,0.9438320398330688,0.9469570517539978,0.9779573678970337,0.9712681770324707
64,10,25,0.2,normal_distro,1.8,0.9517457485198975,0.9788062572479248,0.9517457485198975,0.9604283571243286,0.9764381051063538,0.9929870963096619,0.9687963724136353
64,10,25,0.4,noiseless_ideal,0.45,0.9947914481163025,0.9969471096992493,0.995500922203064,0.9952907562255859,0.9968259334564209,0.9957370758056641,0.9947914481163025
64,10,25,0.4,uniform_distro,0.45,0.9467654228210449,0.9467654228210449,0.9689784049987793,0.9778339862823486,0.9819418787956238,0.9796377420425415,0.9789282083511353
64,10,25,0.4,normal_distro,0.45,0.4913329780101776,0.9923073649406433,0.4913329780101776,0.9931623935699463,0.535936176776886,0.6449141502380371,0.9879783987998962
64,10,25,0.4,noiseless_ideal,0.9,0.989010214805603,0.996427595615387,0.995621919631958,0.989010214805603,0.9974006414413452,0.9921990036964417,0.9946844577789307
64,10,25,0.4,uniform_distro,0.9,0.8858464360237122,0.9505846500396729,0.8858464360237122,0.8977543115615845,0.953144907951355,0.9480953812599182,0.9660143852233887
64,10,25,0.4,normal_distro,0.9,0.942197322845459,0.9920297861099243,0.9838927984237671,0.9497842788696289,0.942197322845459,0.9638932943344116,0.9893380403518677
64,10,25,0.4,noiseless_ideal,1.8,0.9855275750160217,0.9927948713302612,0.9919008016586304,0.9855275750160217,0.9976474046707153,0.994388997554779,0.9866689443588257
64,10,25,0.4,uniform_distro,1.8,0.8915914297103882,0.9750926494598389,0.9849914312362671,0.8915914297103882,0.9536657929420471,0.9638661742210388,0.972169041633606
64,10,25,0.4,normal_distro,1.8,0.94722980260849,0.9903077483177185,0.9654879570007324,0.9934674501419067,0.94722980260849,0.9564712643623352,0.9696672558784485
64,10,25,0.8,noiseless_ideal,0.45,0.9960409998893738,0.996450662612915,0.9960409998893738,0.996950626373291,0.9979169964790344,0.9962844252586365,0.9960997700691223
64,10,25,0.8,uniform_distro,0.45,0.866607129573822,0.9781146049499512,0.866607129573822,0.8893439769744873,0.9614777565002441,0.9812471866607666,0.944226861000061
64,10,25,0.8,normal_distro,0.45,0.979960560798645,0.9865299463272095,0.993863582611084,0.9921151399612427,0.9928231239318848,0.979960560798645,0.9925459623336792
